"","aircraft","dep_time","est_arr_time","flight_no","origin"
"51","A321","Sun 11:22AM","Sun 07:10PM"," AAL1878","Los Angeles Intl (KLAX)"
"111","A321","Sun 09:52AM","Sun 05:32PM"," AAL1473","Los Angeles Intl (KLAX)"
"158","A321","Sun 08:28AM","Sun 04:05PM"," AAL1522","Los Angeles Intl (KLAX)"
"192","A321","Sun 07:27AM","Sun 03:19PM"," AAL343","San Francisco Intl (KSFO)"
"247","A321","Sun 06:14AM","Sun 01:48PM"," AAL1454","Los Angeles Intl (KLAX)"
"425","A321","Sun 12:19AM","Sun 07:51AM"," AAL340","Los Angeles Intl (KLAX)"
"434","A321","Sat 11:17PM","Sun 06:56AM"," AAL2688","San Francisco Intl (KSFO)"
"438","A321","Sat 11:14PM","Sun 06:22AM"," AAL2341","McCarran Intl (KLAS)"
"444","B738","Sat 11:22PM","Sun 06:53AM"," AAL1314","Los Angeles Intl (KLAX)"
"449","A321","Sat 10:27PM","Sun 06:17AM"," AAL2548","San Francisco Intl (KSFO)"
"457","A321","Sat 08:38PM","Sun 04:35AM"," AAL1471","Seattle-Tacoma Intl (KSEA)"
"465","A321","Sat 09:27PM","Sun 04:52AM"," AAL1209","San Diego Intl (KSAN)"
"492","B738","Sat 09:09PM","04:50AM(+1) "," AAL2237","Los Angeles Intl (KLAX)"
"537","A321","Sat 01:15PM","Sat 08:54PM"," AAL1878","Los Angeles Intl (KLAX)"
"538","B752","Sat 01:05PM","Sat 08:52PM"," AAL383","San Francisco Intl (KSFO)"
"560","A321","Sat 12:24PM","Sat 07:56PM"," AAL1268","Los Angeles Intl (KLAX)"
"574","B763","Sat 12:32PM","Sat 07:47PM"," AAL1368","McCarran Intl (KLAS)"
"584","A321","Sat 12:08PM","Sat 07:45PM"," AAL1473","Los Angeles Intl (KLAX)"
"673","A321","Sat 09:18AM","Sat 04:55PM"," AAL1522","Los Angeles Intl (KLAX)"
"684","A321","Sat 08:54AM","Sat 04:51PM"," AAL343","San Francisco Intl (KSFO)"
"762","B763","Sat 07:34AM","Sat 03:00PM"," AAL1368","McCarran Intl (KLAS)"
"778","A321","Sat 06:14AM","Sat 01:45PM"," AAL1454","Los Angeles Intl (KLAX)"
"947","A321","Sat 12:22AM","Sat 07:57AM"," AAL340","Los Angeles Intl (KLAX)"
"959","B738","Fri 11:30PM","Sat 06:53AM"," AAL1314","Los Angeles Intl (KLAX)"
"968","A321","Fri 11:55PM","Sat 06:56AM"," AAL2341","McCarran Intl (KLAS)"
"977","A321","Fri 10:16PM","Sat 05:59AM"," AAL2548","San Francisco Intl (KSFO)"
"980","B738","Fri 11:05PM","Sat 06:47AM"," AAL2688","San Francisco Intl (KSFO)"
"992","A321","Fri 08:36PM","Sat 04:47AM"," AAL1471","Seattle-Tacoma Intl (KSEA)"
"994","B738","Fri 09:09PM","Sat 04:28AM"," AAL2237","Los Angeles Intl (KLAX)"
"1002","A321","Fri 09:28PM","Sat 04:39AM"," AAL1209","San Diego Intl (KSAN)"
"55","B738","Sun 01:02PM","Sun 06:55PM"," GLO7732","Pinto Martins Int'l (FOR / SBFZ)"
"98","B763","Sun 10:28AM","Sun 05:42PM"," AAL224","Ingeniero Ambrosio L.V. Taravella Int'l (COR / SACO)"
"152","A332","Sun 08:39AM","Sun 04:26PM"," ARG1304","Ministro Pistarini Int'l (EZE / SAEZ)"
"184","B763","Sun 08:27AM","Sun 03:14PM"," TAM8196","Deputado Luis Eduardo Magalhaes Int'l (Dois de Julho) (SSA / SBSV)"
"257","B752","Sun 07:02AM","Sun 01:09PM"," AAL214","Presidente Juscelino Kubitschek Int'l (BSB / SBBR)"
"328","B763","Sun 04:47AM","Sun 10:37AM"," TAM8188","Pinto Martins Int'l (FOR / SBFZ)"
"429","A332","Sat 11:38PM","Sun 07:20AM"," ARG1302","Ministro Pistarini Int'l (EZE / SAEZ)"
"439","B772","Sat 11:31PM","Sun 06:18AM"," AAL906","Sí£o Paulo-Guarulhos Int'l (GRU / SBGR)"
"441","B773","Sat 11:21PM","Sun 05:56AM"," TAM8190","Sí£o Paulo-Guarulhos Int'l (GRU / SBGR)"
"446","B772","Sat 11:00PM","Sun 06:32AM"," AAL908","Ministro Pistarini Int'l (EZE / SAEZ)"
"450","B763","Sat 11:53PM","Sun 06:09AM"," TAM8198","Guararapes Int'l (Gilberto Freyre Int'l) (REC / SBRF)"
"452","B763","Sun 05:59AM","Sun 05:38AM"," DSM7820","Ministro Pistarini Int'l (EZE / SAEZ)"
"458","B772","Sat 09:00PM","Sun 04:17AM"," AAL900","Ministro Pistarini Int'l (EZE / SAEZ)"
"460","B77W","Sat 09:24PM","Sun 04:04AM"," AAL930","Sí£o Paulo-Guarulhos Int'l (GRU / SBGR)"
"461","B763","Sat 07:37PM","Sun 03:48AM"," AAL984","Carrasco Int'l (MVD / SUMU)"
"470","B772","Sat 08:54PM","Sun 03:57AM"," AAL904","Rio de Janeiro/Galeao Intl (GIG / SBGL)"
"583","A320","Sat 02:58PM","Sat 07:48PM"," TAM8192","Val de Caes Int'l (BEL / SBBE)"
"650","A332","Sat 09:53AM","Sat 05:39PM"," ARG1304","Ministro Pistarini Int'l (EZE / SAEZ)"
"659","B773","Sat 10:36AM","Sat 05:09PM"," TAM8194","Sí£o Paulo-Guarulhos Int'l (GRU / SBGR)"
"957","A332","Fri 11:16PM","Sat 07:01AM"," ARG1302","Ministro Pistarini Int'l (EZE / SAEZ)"
"975","B773","Fri 11:38PM","Sat 06:08AM"," TAM8190","Sí£o Paulo-Guarulhos Int'l (GRU / SBGR)"
